h,m_b,W
0,50,82527.59076134225
0,55,84541.2878479244
1,0,83899.91812500669
1,5,83333.98250102706
1,10,80780.18504538178
1,15,80237.22278225268
1,20,
1,25,
1,30,
1,35,
1,40,
1,45,
1,50,
1,55,
2,0,
2,5,
2,10,
2,15,
2,20,
2,25,
2,30,
2,35,
2,40,
2,45,
2,50,
2,55,
3,0,
3,5,
3,10,
3,15,
3,20,
3,25,
3,30,
3,35,
3,40,
3,45,
3,50,
3,55,
4,0,
4,5,
4,10,
4,15,
4,20,
4,25,
4,30,
4,35,
4,40,
4,45,113148.31086192472
4,50,118903.42918940933
4,55,121440.41012370416
5,0,124102.50877606992
5,5,133150.44212479267
5,10,139948.1508413378
5,15,142817.78204449153
5,20,142180.63702330508
5,25,142168.506377551
5,30,133384.00233048818
5,35,141364.77807291
5,40,124597.17224078265
5,45,130036.38132812001
5,50,134366.21216967783
5,55,135607.60940753753
6,0,142375.109743266
6,5,137347.86736979664
6,10,142753.64437288852
6,15,145877.89299242425
6,20,141315.38609375
6,25,142294.84080387207
6,30,144129.41170302013
6,35,136386.70419270667
6,40,131614.45452385134
6,45,131194.02934893334
6,50,135668.7734111852
6,55,134855.28363623432
7,0,137661.58726561003
7,5,129596.57904567674
7,10,131547.70488145642
7,15,135533.18213541666
7,20,133607.09557116893
7,25,134303.08453125998
7,30,132648.4624419257
7,35,138619.88421875332
7,40,140604.59930028958
7,45,140147.50765520133
7,50,138922.82125
7,55,133128.2030590928
8,0,135320.7042599358
8,5,135527.57343750334
8,10,142723.66905309365
8,15,146175.4095755912
8,20,145730.2325
8,25,150020.52915268455
8,30,147141.13669253356
8,35,152316.91598958333
8,40,159880.63993644068
8,45,157117.62899709304
8,50,157221.38123951343
8,55,160324.265625
9,0,162822.84130208334
9,5,168822.43671875
9,10,166082.38983585857
9,15,165197.29640310403
9,20,164942.60828125
9,25,169488.24437079125
9,30,158828.29285117055
9,35,161379.20828125
9,40,159362.27519991584
9,45,168335.52828125
9,50,169780.73563762626
9,55,168585.5009931144
10,0,159429.33734375
10,5,154515.9114757525
10,10,157566.87221170033
10,15,154394.46635416665
10,20,156248.45296822742
10,25,150841.55814807047
10,30,149081.160430602
10,35,149577.2701119088
10,40,149807.30421875
10,45,153252.80609375
10,50,150556.63961864405
10,55,148165.44020305906
11,0,153273.46276041667
11,5,148347.62047558924
11,10,141482.57461199665
11,15,139849.96203125
11,20,131291.4766416791
11,25,131317.1332828127
11,30,130851.139523896
11,35,126590.45336092619
11,40,123596.47729168997
11,45,130273.36945733786
11,50,130589.55539297659
11,55,135533.72003020588
12,0,137171.46801594296
12,5,137038.82354166667
12,10,137071.51111577515
12,15,126427.50497160939
12,20,127518.29874998669
12,25,131495.7561870772
12,30,132725.1255523872
