consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
153438.61666666664,2018,7,185,2,1,6,45,2
156525.53133333335,2018,7,185,2,1,7,0,2
160539.01999999996,2018,7,185,2,1,7,15,2
160400.87647058823,2018,7,185,2,1,7,30,2
156341.31,2018,7,185,2,1,7,45,2
158199.21866666665,2018,7,185,2,1,8,0,2
160043.5092857143,2018,7,185,2,1,8,15,2
166462.62600000002,2018,7,185,2,1,8,30,2
159846.0073333333,2018,7,185,2,1,8,45,2
161261.77333333332,2018,7,185,2,1,9,0,2
161804.71133333337,2018,7,185,2,1,9,15,2
157255.50333333336,2018,7,185,2,1,9,30,2
165116.99800000002,2018,7,185,2,1,9,45,2
159819.8013333333,2018,7,185,2,1,10,0,2
165644.43733333334,2018,7,185,2,1,10,15,2
159291.98466666663,2018,7,185,2,1,10,30,2
157250.54999999996,2018,7,185,2,1,10,45,2
157363.25400000002,2018,7,185,2,1,11,0,2
157303.55066666665,2018,7,185,2,1,11,15,2
159137.80866666668,2018,7,185,2,1,11,30,2
161202.27499999997,2018,7,185,2,1,11,45,2
157532.21133333337,2018,7,185,2,1,12,0,2
157871.97333333333,2018,7,185,2,1,12,15,2
146920.1813333333,2018,7,185,2,1,12,30,2
143565.86200000002,2018,7,185,2,1,12,45,2
136255.94333333333,2018,7,185,2,1,13,0,2
135385.21666666667,2018,7,185,2,1,13,15,2
133859.39133333333,2018,7,185,2,1,13,30,2
131326.5753333333,2018,7,185,2,1,13,45,2
130960.26826666665,2018,7,185,2,1,14,0,2
130421.93299999999,2018,7,185,2,1,14,15,2
130983.87986666667,2018,7,185,2,1,14,30,2
127063.86573333332,2018,7,185,2,1,14,45,2
113284.59700000001,2018,7,185,2,1,15,0,2
111047.00766666667,2018,7,185,2,1,15,15,2
114896.17088235295,2018,7,185,2,1,15,30,2
118383.3056,2018,7,185,2,1,15,45,2
115437.02971428572,2018,7,185,2,1,16,0,2
117948.68386666666,2018,7,185,2,1,16,15,2
116206.70746666666,2018,7,185,2,1,16,30,2
113328.31626666668,2018,7,185,2,1,16,45,2
115744.72473333335,2018,7,185,2,1,17,0,2
116256.31333333331,2018,7,185,2,1,17,15,2
116228.44893333335,2018,7,185,2,1,17,30,2
113604.59060000001,2018,7,185,2,1,17,45,2
